interview_number,interview_date,interview_time,respondent_gender,respondent_age,respondent_class,respondent_home,number_alters,alter1_gender,alter1_age,alter1_class,alter1_home,alter1_howclose,alter1_howoften,alter2_gender,alter2_age,alter2_class,alter2_home,alter2_howclose,alter2_howoften,alter3_gender,alter3_age,alter3_class,alter3_home,alter3_howclose,alter3_howoften,alter4_gender,alter4_age,alter4_class,alter4_home,alter4_howclose,alter4_howoften,alter5_gender,alter5_age,alter5_class,alter5_home,alter5_howclose,alter5_howoften
2,9/2/2023,18:15,Female,22,Senior,Rest of California,5,Female,22,Senior,Bay Area,Close friend,More than once a week,Female,22,Senior,Bay Area,Close friend,More than once a week,Female,23,Other,LA Area,Close friend,Once a week,Male,22,Senior,Rest of United States,Close friend,More than once a week,Male,23,Other,LA Area,Close friend,Once a week
3,9/3/2023,19:00,Male,25,Other,Rest of United States,5,Female,63,Other,Rest of United States,Close friend,Once a week,Male,63,Other,Rest of United States,Close friend,Once a week,Female,23,Senior,Rest of United States,Close friend,More than once a week,Male,25,Other,Rest of United States,Close friend,More than once a week,Male,25,Other,Rest of United States,Friend,Once a month
1,3/8/2023,14:26,Male,21,Senior,LA Area,5,Female,21,Senior,LA Area,Close friend,More than once a week,Male,21,Senior,Bay Area,Close friend,More than once a week,Male,21,Senior,LA Area,Close friend,More than once a week,Male,21,Senior,LA Area,Close friend,More than once a week,Male,21,Senior,LA Area,Close friend,More than once a week
2,9/4/2023,19:54,Female,21,Senior,LA Area,3,Male,21,Senior,LA Area,Close friend,More than once a week,Female,21,Senior,LA Area,Close friend,More than once a week,Female,21,Senior,LA Area,Close friend,More than once a week,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,9/4/2023,19:45,Female,20,Junior,Bay Area,6+,Male,20,Junior,Bay Area,Close friend,More than once a week,Female,20,Junior,Bay Area,Close friend,More than once a week,Female,20,Junior,LA Area,Close friend,More than once a week,Female,20,Junior,Bay Area,Close friend,More than once a week,Female,19,Senior,Bay Area,Close friend,More than once a week
1,9/6/2023,17:40,Female,21,Senior,Bay Area,6+,Female,52,Other,Rest of World,Close friend,Once a week,Male,50,Other,Rest of World,Close friend,Once a week,Female,20,Senior,Rest of United States,Close friend,More than once a week,Male,21,Senior,Bay Area,Close friend,More than once a week,Male,21,Senior,Rest of California,Close friend,More than once a week
2,9/6/2023,18:10,Female,21,Senior,LA Area,4,Female,21,Senior,Rest of United States,Close friend,More than once a week,Male,20,Junior,Bay Area,Close friend,Once a week,Male,21,Senior,LA Area,Close friend,More than once a week,Female,21,Senior,Bay Area,Close friend,Once a week,Male,21,Senior,Rest of United States,Close friend,More than once a week
3,9/6/2023,18:30,Male,21,Senior,Rest of United States,5,Female,21,Senior,Bay Area,Close friend,More than once a week,Male,20,Junior,Rest of United States,Close friend,More than once a week,Female,21,Senior,LA Area,Close friend,More than once a week,Male,21,Senior,Bay Area,Close friend,More than once a week,Male,22,Other,Rest of California,Close friend,Once a week
1,8/31/2023,15:00,Female,20,Junior,Bay Area,5,Female,21,Junior,Rest of California,Close friend,More than once a week,Female,50,Other,Rest of World,Close friend,Once a week,Male,70,Other,Rest of World,Close friend,Once a week,Female,20,Junior,Bay Area,Friend,More than once a week,Female,20,Junior,Bay Area,Friend,More than once a week
2,9/6/2023,22:36,Male,20,Junior,Rest of United States,4,Other,54,Other,Rest of United States,Close friend,More than once a week,Female,50,Other,Rest of United States,Close friend,More than once a week,Male,26,Other,Rest of World,Close friend,More than once a week,Other,46,Other,Rest of World,Close friend,More than once a week,NA,NA,NA,NA,NA,NA
3,9/6/2023,22:42,Male,21,Other,Bay Area,5,Male,51,Other,Bay Area,Close friend,More than once a week,Female,54,Other,Bay Area,Close friend,More than once a week,Male,18,Freshman,Bay Area,Close friend,More than once a week,Male,21,Junior,Rest of California,Close friend,More than once a week,Male,22,Senior,Rest of United States,Close friend,Once a week
1,9/7/2023,13:24,Female,19,Sophomore,Rest of World,5,Male,20,Junior,Bay Area,Close friend,More than once a week,Female,12,Other,Rest of World,Close friend,Once a week,Female,48,Other,Rest of World,Close friend,Once a month,Male,47,Other,Rest of World,Close friend,Once a month,Male,20,Junior,Rest of World,Close friend,Once a month
2,9/7/2023,15:26,Male,21,Senior,Bay Area,6+,Male,21,Senior,Bay Area,Close friend,More than once a week,Male,21,Senior,LA Area,Close friend,Once a month,Male,20,Junior,Bay Area,Close friend,Once a month,Male,20,Junior,Rest of United States,Close friend,Once a month,Female,19,Junior,Bay Area,Close friend,Once a month
3,9/7/2023,18:55,Male,20,Junior,LA Area,6+,Female,20,Junior,LA Area,Close friend,Once a week,Female,22,Senior,Rest of California,Friend,Once a month,Female,21,Junior,Rest of United States,Close friend,Once a month,Male,20,Junior,Rest of United States,Close friend,Once a month,Male,18,Freshman,LA Area,Close friend,Once a month
1,8/31/2023,15:00,Female,20,Junior,Bay Area,5,Female,20,Junior,Bay Area,Close friend,More than once a week,Female,19,Junior,Bay Area,Close friend,More than once a week,Female,20,Junior,Bay Area,Close friend,More than once a week,Female,20,Junior,Bay Area,Close friend,More than once a week,Female,20,Junior,Rest of California,Close friend,More than once a week
2,9/6/2023,22:20,Male,30,Senior,Rest of United States,5,Male,35,Other,Bay Area,Acquaintance,Rarely,Female,43,Other,Rest of United States,Close friend,Once a week,Female,30,Other,Rest of California,Friend,Once a week,Male,30,Senior,LA Area,Friend,More than once a week,Male,30,Other,Rest of United States,Close friend,Once a month
3,9/6/2023,23:00,Female,29,Senior,Rest of California,6+,Male,30,Other,Rest of California,Close friend,Once a week,Male,32,Other,Rest of California,Close friend,Once a week,Female,30,Other,Rest of California,Close friend,More than once a week,Female,25,Other,Rest of California,Close friend,More than once a week,Female,49,Other,Rest of California,Close friend,More than once a week
2,9/4/2023,22:35,Male,23,Other,Rest of United States,5,Male,23,Other,Rest of United States,Close friend,More than once a week,Male,23,Other,Rest of United States,Close friend,Once a month,Female,23,Other,Rest of United States,Close friend,Once a month,Male,23,Other,Rest of United States,Close friend,Once a month,Male,23,Other,Rest of United States,Close friend,Once a year
